"Character" "Taxon" "N" "Mean" "SD" "Min" "5%" "25%" "Median" "75%" "95%" "Max"
"SN" "SN" "hybr" 120 48.3233333333333 23.0692189452764 10 17.945 33.95 44.3 57.8 93.04 124.1
"SN1" "SN" "ph" 160 45.215625 17.0322836149915 16.3 23.265 32.625 42.25 53.95 73.0649999999999 107.9
"SN2" "SN" "ps" 240 49.0745833333333 19.1321341285027 8.2 19.59 35.525 48.75 61.9 81.915 112.4
"SN3" "SN" "st" 132 55.4681818181818 14.8037973165533 26.7 34.755 45.825 53.6 62.35 83.695 104.5
"SF" "SF" "hybr" 120 16.3308333333333 9.82693773166762 1.9 3.895 8.75 14.15 23.425 35.435 47.7
"SF1" "SF" "ph" 160 20.12 10.2111284711381 3.1 7.095 13.175 18.35 24.925 35.305 71.5
"SF2" "SF" "ps" 240 18.8525 9.08383513002389 2 6.3 12.7 17.8 23.8 36.415 61.6
"SF3" "SF" "st" 132 9.64242424242424 7.96363990210508 0.3 1.255 4.075 8 12.85 22.67 47.6
"ST" "ST" "hybr" 120 64.6541666666667 23.1283662853824 26.8 36.97 47.9 59.8 78 111.32 134.6
"ST1" "ST" "ph" 160 65.335625 17.6339771620107 30 42.285 53.675 62.4 75.3 99.07 127
"ST2" "ST" "ps" 240 67.9270833333333 20.9347016229808 26.3 37.05 52.375 67.75 82.025 103.435 138.9
"ST3" "ST" "st" 132 65.1106060606061 17.1659224711745 28 41.165 54.525 63.05 77.1 96.81 117.9
"SFT" "SFT" "hybr" 120 0.270666666666667 0.163931392358389 0.03 0.06 0.13 0.24 0.39 0.601 0.67
"SFT1" "SFT" "ph" 160 0.314125 0.138778985866878 0.06 0.1295 0.21 0.29 0.42 0.5905 0.71
"SFT2" "SFT" "ps" 240 0.289708333333333 0.141768264905969 0.04 0.11 0.19 0.26 0.35 0.571 0.77
"SFT3" "SFT" "st" 132 0.14219696969697 0.0977714611566247 0.01 0.02 0.07 0.12 0.2025 0.3045 0.54
"LL" "LL" "hybr" 120 10.7775 2.55712754091465 4.9 7.095 9 10.4 12.325 15.1 18.4
"LL1" "LL" "ph" 160 9.92125 2.41166941579255 4.5 5.895 8.375 9.85 11.5 14.305 17.7
"LL2" "LL" "ps" 240 10.005 2.16969812604403 5.7 6.795 8.3 9.9 11.3 14 16.8
"LL3" "LL" "st" 132 8.95909090909091 2.31852659666839 4.2 6.01 7.275 8.6 10.4 13.325 15.3
"LW" "LW" "hybr" 120 3.59583333333333 0.779721544062052 1.8 2.6 3 3.5 4 5 5.6
"LW1" "LW" "ph" 160 3.285 1.04924051598161 1.2 1.6 2.5 3.2 3.9 5.005 5.9
"LW2" "LW" "ps" 240 3.38291666666667 0.859989195060404 1 2.1 2.8 3.4 3.9 4.9 6.1
"LW3" "LW" "st" 132 2.57272727272727 0.726708663980247 1.1 1.6 2 2.5 3 3.845 4.9
"LLW" "LLW" "hybr" 120 3.02466666666667 0.492349765224405 1.81 2.3 2.68 2.94 3.36 3.943 4.12
"LLW1" "LLW" "ph" 160 3.1679375 0.701576030724249 1.87 2.1485 2.705 3.12 3.5925 4.2805 6.35
"LLW2" "LLW" "ps" 240 3.07145833333333 0.783588434751757 1.74 2.14 2.5875 2.965 3.4025 4.252 9.5
"LLW3" "LLW" "st" 132 3.58492424242424 0.775913641425258 2.04 2.58 3.04 3.46 3.9 5.0405 6.43
"LM" "LM" "hybr" 120 0 0 0 0 0 0 0 0 0
"LM1" "LM" "ph" 160 0.14375 0.351937583802983 0 0 0 0 0 1 1
"LM2" "LM" "ps" 240 0.0208333333333333 0.143124625059652 0 0 0 0 0 0 1
"LM3" "LM" "st" 132 0.00757575757575758 0.0870388279778489 0 0 0 0 0 0 1
"LBA" "LBA" "hybr" 120 0.466666666666667 0.50097943286812 0 0 0 0 1 1 1
"LBA1" "LBA" "ph" 160 0.125 0.331757280374917 0 0 0 0 0 1 1
"LBA2" "LBA" "ps" 240 0.0416666666666667 0.200243923777384 0 0 0 0 0 0 1
"LBA3" "LBA" "st" 132 0.568181818181818 0.497216401475158 0 0 0 1 1 1 1
"LBS" "LBS" "hybr" 120 0.166666666666667 0.37424059428256 0 0 0 0 0 1 1
"LBS1" "LBS" "ph" 160 0.0375 0.190580048055879 0 0 0 0 0 0 1
"LBS2" "LBS" "ps" 240 0.4125 0.493313024950461 0 0 0 0 1 1 1
"LBS3" "LBS" "st" 132 0.00757575757575758 0.0870388279778489 0 0 0 0 0 0 1
"LS" "LS" "hybr" 120 0.15 0.358568582800318 0 0 0 0 0 1 1
"LS1" "LS" "ph" 160 0.0625 0.242821465589316 0 0 0 0 0 1 1
"LS2" "LS" "ps" 240 0.0125 0.111334619456572 0 0 0 0 0 0 1
"LS3" "LS" "st" 132 0.651515151515151 0.478305668736822 0 0 0 1 1 1 1
"IL" "IL" "hybr" 120 1.67666666666667 0.151592849952967 1.4 1.4 1.6 1.7 1.8 1.905 2
"IL1" "IL" "ph" 160 1.671875 0.132784345424968 1.3 1.4 1.6 1.7 1.8 1.9 2
"IL2" "IL" "ps" 240 1.79375 0.135384544521882 1.4 1.6 1.7 1.8 1.9 2 2.2
"IL3" "IL" "st" 132 1.56666666666667 0.151161743749988 1.2 1.3 1.5 1.6 1.7 1.8 1.9
"IW" "IW" "hybr" 120 1.385 0.233587296765222 1 1.095 1.2 1.4 1.5 1.8 2
"IW1" "IW" "ph" 160 1.621875 0.175431857078432 1 1.3 1.5 1.6 1.7 1.9 2
"IW2" "IW" "ps" 240 1.67583333333333 0.192101713527774 1.1 1.3 1.6 1.7 1.8 2 2.2
"IW3" "IW" "st" 132 1.14015151515152 0.197642536635622 0.8 0.9 1 1.1 1.3 1.5 1.7
"ILW" "ILW" "hybr" 120 1.23108333333333 0.146962499265888 0.94 1 1.1275 1.25 1.33 1.4505 1.6
"ILW1" "ILW" "ph" 160 1.03625 0.0780158829176558 0.93 0.94 1 1 1.0625 1.1705 1.42
"ILW2" "ILW" "ps" 240 1.08079166666667 0.11726573875924 0.84 0.9495 1 1.06 1.13 1.33 1.64
"ILW3" "ILW" "st" 132 1.40037878787879 0.196042546024976 1 1.13 1.25 1.4 1.55 1.7 2
"CG" "CG" "hybr" 120 0.25 0.434828276739336 0 0 0 0 0.25 1 1
"CG1" "CG" "ph" 160 0.0875 0.283453544605965 0 0 0 0 0 1 1
"CG2" "CG" "ps" 240 0.266666666666667 0.443140812425777 0 0 0 0 1 1 1
"CG3" "CG" "st" 132 0.121212121212121 0.327616957271215 0 0 0 0 0 1 1
"ML" "ML" "hybr" 120 11.865 1.66014325594272 7.4 9.595 10.6 11.65 13 14.405 17.1
"ML1" "ML" "ph" 160 6.850625 1.25492723861339 4.5 5 5.9 6.7 7.6 9.01 10.4
"ML2" "ML" "ps" 240 11.4941666666667 1.54756095496898 7.3 9.195 10.4 11.5 12.525 13.825 17.1
"ML3" "ML" "st" 132 9.85151515151515 1.35294334769005 7 7.955 8.875 9.55 10.8 12.3 13.4
"MW" "MW" "hybr" 120 0.6125 0.12268871589679 0.4 0.495 0.5 0.6 0.7 0.8 1.2
"MW1" "MW" "ph" 160 1.215625 0.393588054447507 0.7 0.8 0.9 1.1 1.425 1.905 2.6
"MW2" "MW" "ps" 240 0.857916666666667 0.250730800758689 0.4 0.5 0.7 0.8 1 1.305 1.6
"MW3" "MW" "st" 132 0.486363636363636 0.100966873316383 0.3 0.355 0.4 0.5 0.5 0.6 0.9
"MLW" "MLW" "hybr" 120 19.8438333333333 3.91166305695525 11.56 13.976 17.355 19.3 22.0425 26.7725 30.29
"MLW1" "MLW" "ph" 160 6.1554375 1.96222209004495 2.24 3.409 4.6675 6.09 7.4825 9.811 11.47
"MLW2" "MLW" "ps" 240 14.4467916666667 4.5216092173666 5.26 7.91 10.87 13.85 17.3 22.125 29.33
"MLW3" "MLW" "st" 132 21.1521212121212 5.20287428347283 11.67 14.67 17.2975 20 23.8125 30.901 36.92
"MF" "MF" "hybr" 120 15.35 2.06877546697874 12 13 14 15 17 20 23
