Spearman	SN	SF	ST	SFT	LL	LW	LLW	LM	LBA	LBS	LS	IL	IW	ILW	CG	ML	MW	MLW	MF	IS	IV	AL	AW	ALW	AP
SN	1	-0.174	0.836	-0.606	0.338	0.014	0.36	-0.04	0.064	-0.144	0.236	-0.014	-0.045	0.029	0.062	-0.045	-0.145	0.089	0.142	0.092	0.007	-0.098	-0.079	-0.027	-0.124
SF	-0.174	1	0.339	0.86	0.315	0.386	-0.188	0.12	-0.325	0.237	-0.486	0.318	0.446	-0.391	0.348	0.013	0.388	-0.327	0.147	-0.025	-0.057	0.146	0.092	0.052	0.118
ST	0.836	0.339	1	-0.131	0.511	0.215	0.274	0.026	-0.096	-0.032	0.01	0.136	0.167	-0.156	0.241	-0.051	0.05	-0.076	0.205	0.059	-0.03	-0.022	-0.026	-0.006	-0.09
SFT	-0.606	0.86	-0.131	1	0.08	0.287	-0.317	0.106	-0.304	0.279	-0.505	0.273	0.398	-0.345	0.238	0.044	0.395	-0.314	0.052	-0.051	-0.052	0.164	0.119	0.043	0.159
LL	0.338	0.315	0.511	0.08	1	0.706	0.111	0.077	-0.072	0.099	-0.122	0.172	0.183	-0.16	0.153	0.086	0.087	-0.015	0.216	0.134	0.068	0.161	0.1	0.039	-0.021
LW	0.014	0.386	0.215	0.287	0.706	1	-0.585	0.074	-0.233	0.282	-0.293	0.269	0.348	-0.304	0.145	0.153	0.218	-0.115	0.213	0.165	0.104	0.236	0.122	0.087	0.152
LLW	0.36	-0.188	0.274	-0.317	0.111	-0.585	1	-0.023	0.276	-0.274	0.288	-0.181	-0.279	0.245	-0.027	-0.135	-0.211	0.138	-0.056	-0.084	-0.08	-0.163	-0.072	-0.08	-0.228
LM	-0.04	0.12	0.026	0.106	0.077	0.074	-0.023	1	-0.037	-0.049	-0.043	-0.018	0.067	-0.106	-0.029	-0.179	0.217	-0.223	-0.105	-0.134	-0.175	0.041	0.06	-0.036	0.099
LBA	0.064	-0.325	-0.096	-0.304	-0.072	-0.233	0.276	-0.037	1	-0.28	0.409	-0.245	-0.438	0.431	-0.078	-0.011	-0.443	0.376	-0.2	0.034	0.133	-0.15	-0.029	-0.091	-0.2
LBS	-0.144	0.237	-0.032	0.279	0.099	0.282	-0.274	-0.049	-0.28	1	-0.219	0.282	0.305	-0.192	0.139	0.343	0.161	-0.02	0.293	0.179	0.246	0.11	0.055	0.086	0.187
LS	0.236	-0.486	0.01	-0.505	-0.122	-0.293	0.288	-0.043	0.409	-0.219	1	-0.314	-0.469	0.442	-0.145	-0.099	-0.42	0.32	-0.218	-0.002	0.044	-0.159	-0.096	-0.037	-0.212
IL	-0.014	0.318	0.136	0.273	0.172	0.269	-0.181	-0.018	-0.245	0.282	-0.314	1	0.711	-0.272	0.105	0.365	0.288	-0.081	0.402	0.115	0.127	0.254	0.086	0.144	0.219
IW	-0.045	0.446	0.167	0.398	0.183	0.348	-0.279	0.067	-0.438	0.305	-0.469	0.711	1	-0.846	0.097	0.092	0.606	-0.456	0.362	-0.021	-0.071	0.245	0.168	0.059	0.252
ILW	0.029	-0.391	-0.156	-0.345	-0.16	-0.304	0.245	-0.106	0.431	-0.192	0.442	-0.272	-0.846	1	-0.044	0.153	-0.644	0.588	-0.212	0.122	0.214	-0.146	-0.159	0.019	-0.154
